index,Unnamed: 0,title,soup
524,525,shallow,ladygaga dance pop
525,526,these days,rudimental dance pop
526,527,what lovers do,maroon5 pop
527,528,finesse,brunomars pop
528,529,perfect duet,edsheeran pop
529,530,bad at love,halsey dance pop
530,531,him & i,g-eazy hip hop
531,532,friends,justinbieber canadian pop
532,533,wild thoughts,djkhaled dance pop
533,534,my my my!,troyesivan dance pop
534,535,capital letters,haileesteinfeld dance pop
535,536,sick boy,thechainsmokers electropop
536,537,tequila,dan+shay contemporary country
537,538,look what you made me do,taylorswift pop
538,539,youth,shawnmendes canadian pop
539,540,bad liar,selenagomez dance pop
540,541,anywhere,ritaora dance pop
542,543,chun,nickiminaj dance pop
543,544,sign of the times,harrystyles dance pop
544,545,familiar,liampayne dance pop
545,546,let me,zayn dance pop
546,547,supernova,anselelgort dance pop
547,548,nervous,shawnmendes canadian pop
549,550,end game,taylorswift pop
550,551,mi gente,jbalvin latin
551,552,lemon,n.e.r.d hip hop
552,553,for you,liampayne dance pop
553,554,want to,dualipa dance pop
554,555,what i need,hayleykiyoko dance pop
555,556,wait,maroon5 pop
556,557,what about us,p!nk dance pop
558,559,2u,davidguetta dance pop
559,560,walk on water,eminem detroit hip hop
560,561,this town,niallhoran dance pop
561,562,girls,ritaora dance pop
562,563,move to miami,enriqueiglesias dance pop
563,564,miss you,cashmerecat downtempo
564,565,filthy,justintimberlake dance pop
572,573,memories,maroon5 pop
573,574,lose you to love me,selenagomez dance pop
574,575,someone you loved,lewiscapaldi pop
575,576,senorita,shawnmendes canadian pop
576,577,how do you sleep?,samsmith pop
577,578,south of the border,edsheeran pop
578,579,trampoline,shaed electropop
579,580,happier,marshmello brostep
580,581,truth hurts,lizzo escape room
581,582,good as hell,lizzo escape room
582,583,higher love,kygo edm
583,584,only human,jonasbrothers boy band
584,585,beautiful people,edsheeran pop
585,586,sucker,jonasbrothers boy band
586,587,don't call me up,mabel dance pop
587,588,i don't care,edsheeran pop
588,589,talk,khalid alternative r&b
589,590,giant,calvinharris dance pop
590,591,takeaway,thechainsmokers electropop
591,592,all around the world,r3hab big room
592,593,girls like you,maroon5 pop
593,594,call you mine,thechainsmokers electropop
594,595,no guidance,chrisbrown dance pop
595,596,antisocial,edsheeran pop
596,597,taki taki,djsnake electronic trap
597,598,con calma,daddyyankee latin
598,599,find u again,markronson dance pop
599,600,cross me,edsheeran pop
600,601,no brainer,djkhaled dance pop
601,602,nothing breaks like a heart,markronson dance pop
602,603,kills you slowly,thechainsmokers electropop
